order_id,customer_id,order_status,review_comment_message,review_score,price,freight_value,payment_value,product_category_name
e481f51cbdc54678b7cc49136f2d6af7,9ef432eb6251297304e76186b10a928d,delivered,"Não testei o produto ainda, mas ele veio correto e em boas condições. Apenas a caixa que veio bem amassada e danificada, o que ficará chato, pois se trata de um presente.",4.0,29.99,8.72,18.12,utilidades_domesticas
e481f51cbdc54678b7cc49136f2d6af7,9ef432eb6251297304e76186b10a928d,delivered,"Não testei o produto ainda, mas ele veio correto e em boas condições. Apenas a caixa que veio bem amassada e danificada, o que ficará chato, pois se trata de um presente.",4.0,29.99,8.72,2.0,utilidades_domesticas
e481f51cbdc54678b7cc49136f2d6af7,9ef432eb6251297304e76186b10a928d,delivered,"Não testei o produto ainda, mas ele veio correto e em boas condições. Apenas a caixa que veio bem amassada e danificada, o que ficará chato, pois se trata de um presente.",4.0,29.99,8.72,18.59,utilidades_domesticas
53cdb2fc8bc7dce0b6741e2150273451,b0830fb4747a6c6d20dea0b8c802d7ef,delivered,Muito bom o produto.,4.0,118.7,22.76,141.46,perfumaria
949d5b44dbf5de918fe9c16f97b45f8a,f88197465ea7920adcdbec7375364d82,delivered,O produto foi exatamente o que eu esperava e estava descrito no site e chegou bem antes da data prevista.,5.0,45.0,27.2,72.2,pet_shop
136cce7faa42fdb2cefd53fdc79a6098,ed0271e0b7da060a393796590e7b737a,invoiced,fiquei triste por n ter me atendido.,2.0,49.9,16.05,65.95,
e6ce16cb79ec1d90b1da9085a6118aeb,494dded5b201313c64ed7f100595b95c,delivered,Aguardando retorno da loja,1.0,99.0,30.53,259.06,ferramentas_jardim
e6ce16cb79ec1d90b1da9085a6118aeb,494dded5b201313c64ed7f100595b95c,delivered,Aguardando retorno da loja,1.0,99.0,30.53,259.06,ferramentas_jardim
432aaf21d85167c2c86ec9448c4e42cc,3df704f53d3f1d4818840b34ec672a9f,delivered,Gostei do produto,4.0,38.25,16.11,54.36,brinquedos
dcb36b511fcac050b97cd5c05de84dc3,3b6828a50ffe546942b7a473d70ac0fc,delivered,Obrigado pela atenção. Lojas lannister perfeito em tudo.,5.0,132.4,14.05,146.45,perfumaria
203096f03d82e0dffbc41ebc2e2bcfb7,d2b091571da224a1b36412c18bc3bbfe,delivered,"os correios estäo em greve... näo recebi nenhum aviso de atraso, mas de qqer forma a empresa responsável deveria dar alguma resposta sobre o atraso.",2.0,109.9,8.96,118.86,beleza_saude
f3e7c359154d965827355f39d6b1fdac,62b423aab58096ca514ba6aa06be2f98,delivered,Sempre vou comprar aqui pois é a melhor parabéns ,5.0,89.9,14.21,104.11,papelaria
fbf9ac61453ac646ce8ad9783d7d0af6,3a874b4d4c4b6543206ff5d89287f0c3,delivered,Demora muito entregar. Já passou o prazo e ainda não recebi minha encomenda.,2.0,109.9,15.53,125.43,cool_stuff
acce194856392f074dbf9dada14d8d82,7e20bf5ca92da68200643bda76c504c6,delivered,"Até o momento não recebi o produto Protetor De Colchão Para Berço - Algodão Impermeável, já fiz a reclamação desde o dia 18/06 e ainda não obtive retorno. Irei cancelar o pedido e estornar a compra hj",1.0,90.9,48.64,227.68,bebes
